line_id,EMIR band,freq,Calibration error (%),"Noise RMS (K) [1 min, IPWV=0mm]","Noise RMS (K) [1 min, IPWV=1mm]","Noise RMS (K) [1 min, IPWV=2mm]"
c_c3h2_j5_ka5_kc1__j5_ka4_kc2,E090,73.37312459837752,5.0,0.13369050138935273,0.13630853936250895,0.14160243878864961
c_c3h2_j7_ka7_kc0__j7_ka6_kc1,E090,76.44975142770863,5.0,0.11517641653400615,0.11782978100024726,0.12320001696955114
c_c3h2_j5_ka3_kc2__j5_ka2_kc3,E090,77.0999456254806,5.0,0.11149863631097649,0.11415952463441215,0.11954606937339199
c_c3h2_j4_ka2_kc2__j4_ka1_kc3,E090,80.72307946850216,5.0,0.10056413785736551,0.10333881639655516,0.10896218334032719
c_c3h2_j2_ka0_kc2__j1_ka1_kc1,E090,82.09344139838605,5.0,0.097768796058417,0.10059663248138953,0.10633033032012135
c_c3h2_j6_ka6_kc1__j6_ka5_kc2,E090,82.5833311505946,5.0,0.09688592476499464,0.09973372574857636,0.10550884895013063
c_c3h2_j3_ka1_kc2__j3_ka0_kc3,E090,82.96609567656633,5.0,0.09623205849657147,0.09909576634022299,0.10490389651846065
c_c3h2_j3_ka2_kc2__j3_ka1_kc3,E090,84.72758178401418,5.0,0.09357619019443857,0.09651628140150967,0.10248291793941981
c_c3h2_j2_ka1_kc2__j1_ka0_kc1,E090,85.3387885837445,5.0,0.09277079411991963,0.09573849112913126,0.1017624334611075
c_c3h2_j4_ka3_kc2__j4_ka2_kc3,E090,85.6563240735506,5.0,0.09237224258351104,0.09535448119045228,0.10140861563092854
so_n2_j2__n1_j1,E090,86.09395495989928,5.0,0.09163976587965666,0.0946402046143184,0.10073222386375742
c2h_n1d0_j1d5_f1d0__n0d0_j0d5_f1d0,E090,87.28399532932656,5.0,0.09034598775844817,0.09340299846822074,0.09961250394365671
c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,E090,87.31679008416477,5.0,0.0903124717434345,0.09337106546161367,0.09958386071459671
c2h_n1d0_j1d5_f1d0__n0d0_j0d5_f0d0,E090,87.32847526016911,5.0,0.09030055826425319,0.09335971580052815,0.09957368326373002
c2h_n1d0_j0d5_f1d0__n0d0_j0d5_f1d0,E090,87.40188058567868,5.0,0.09022608797768356,0.09328879621246762,0.09951013960420023
c2h_n1d0_j0d5_f0d0__n0d0_j0d5_f1d0,E090,87.40705640186893,5.0,0.09022084230797983,0.09328380146942244,0.09950566433178268
c_c3h2_j5_ka4_kc2__j5_ka3_kc3,E090,87.43520875796645,5.0,0.09019238424243692,0.09325670569127555,0.09948140035929023
c2h_n1d0_j0d5_f1d0__n0d0_j0d5_f0d0,E090,87.44636051652127,5.0,0.09018114202687971,0.09324600392912122,0.09947182111805186
hcn_j1_f1__j0_f1,E090,88.63030971708021,5.0,0.08905835988233265,0.0921814340661331,0.09852822134805007
hcn_j1_f2__j0_f1,E090,88.63174744379972,5.0,0.08905704895208891,0.09218019456645625,0.0985271300933315
hcn_j1_f0__j0_f1,E090,88.63383110571205,5.0,0.08905514910343146,0.0921783982380161,0.09852554860817693
