line_id,molecule,transition,E(K),Aij(s-1),freq
h2_v0_j2__v0_j0,h2,v0_j2__v0_j0,509.86386545,2.943e-11,10623.839169129189
h2_v0_j3__v0_j1,h2,v0_j3__v0_j1,844.60810392,4.761e-10,17598.777369856914
h2_v0_j4__v0_j2,h2,v0_j4__v0_j2,1171.77485419,2.755e-09,24415.826335049736
h2_v0_j5__v0_j3,h2,v0_j5__v0_j3,1488.66025741,9.836e-09,31018.646787686957
h2_v0_j6__v0_j4,h2,v0_j6__v0_j4,1792.85921529,2.643e-08,37357.12461074569
h2_v0_j7__v0_j5,h2,v0_j7__v0_j5,2082.31434597,5.879e-08,43388.390922017854
h2_v0_j8__v0_j6,h2,v0_j8__v0_j6,2355.34393221,1.142e-07,49077.40441990046
h2_v0_j9__v0_j7,h2,v0_j9__v0_j7,2610.64967356,2.001e-07,54397.11291240919
h2_v0_j10__v0_j8,h2,v0_j10__v0_j8,2847.30672711,3.236e-07,59328.24580007947
h2_v0_j11__v0_j9,h2,v0_j11__v0_j9,3064.73951018,4.9e-07,63858.80988583417
h2_v0_j12__v0_j10,h2,v0_j12__v0_j10,3262.68724877,7.029e-07,67983.37152115803
h2_v0_j13__v0_j11,h2,v0_j13__v0_j11,3441.16314799,9.633e-07,71702.20585589857
h2_v0_j14__v0_j12,h2,v0_j14__v0_j12,3600.41062584,1.269e-06,75020.38489820955
h2_v0_j15__v0_j13,h2,v0_j15__v0_j13,3740.85942198,1.617e-06,77946.86296970861
h2_v0_j16__v0_j14,h2,v0_j16__v0_j14,3863.08364721,1.999e-06,80493.60259846992
h2_v0_j17__v0_j15,h2,v0_j17__v0_j15,3967.76316534,2.407e-06,82674.76984775819
h2_v0_j18__v0_j16,h2,v0_j18__v0_j16,4055.64907545,2.831e-06,84506.01508302729
h2_v0_j19__v0_j17,h2,v0_j19__v0_j17,4127.53358536,3.259e-06,86003.84523688901
h2_v0_j20__v0_j18,h2,v0_j20__v0_j18,4184.22419132,3.68e-06,87185.08580114816
h2_v0_j21__v0_j19,h2,v0_j21__v0_j19,4226.52180717,4.081e-06,88066.42511243944
h2_v0_j22__v0_j20,h2,v0_j22__v0_j20,4255.20229625,4.451e-06,88664.02953967015
